iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,dart_sigma_trace,dart_noise_steps,dart_alpha,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,c_success_rate,co_grasp_ok,co_grasp_miss,co_no_release,co_drop,co_human_contact,co_bench_timeout,co_timeout,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0417,0.9984,0.3436,0.9692,0.1952,41.3591,16.4573,62.7554,0.39,0.37,0.0,0.59,0.661,0.0,0.0,,0.38,0.8947,0.06,0.1579,1.4211,0.4022,0.1067,0.7936,0.1612,0.0896,1.1177,22.7288,0.39,0.0,0.14,0.14,0.0,0.33,1,,,,0.0
1,0.9,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3.0,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,,-1,-1,,-1,2,572,13812,0.2824,25,0.1277,0.9962,0.2622,0.9832,0.2378,38.6391,20.5266,57.4706,0.53,0.5,0.01,0.66,0.803,0.01,0.0,0.0,0.45,0.9778,0.02,0.0444,1.8222,0.4314,0.0892,0.8801,0.1696,0.081,0.9285,20.803,0.53,0.0,0.08,0.16,0.02,0.21,1,0.2,11.7,463.2,477.0
2,0.8938,100,100,4202,0,100,64,50,370,0,0,3755,2,3,31,0,0,0,139,0.019482,3749,2.8958,0.0654,0.1893,26.5,50,0,19,31,0,0,0.38,0.38,0.0,0.06,0.23,0.14,0.0,0.19,22,0,0.0,50,4152,0.0276,56,3,672,18014,0.4498,25,0.1529,0.9954,0.2949,0.9776,0.2542,38.9886,20.5765,57.3638,0.65,0.63,0.02,0.75,0.8667,0.02,0.0,0.0,0.62,0.9194,0.06,0.0968,1.9677,0.5816,0.0835,0.8348,0.1688,0.0781,0.8643,22.2,0.65,0.0,0.06,0.08,0.02,0.19,1,77.1,468.0,459.1,1007.0
3,0.8875,100,100,3834,0,100,61,54,345,0,0,3381,0,0,22,0,0,0,90,0.013277,3378,2.7917,0.0684,0.1835,,54,0,22,24,0,0,0.47,0.47,0.0,0.04,0.17,0.1,0.0,0.22,40,0,0.01,54,3780,0.0275,30,4,772,21848,0.5463,25,0.1633,0.9932,0.2807,0.9888,0.2695,38.4753,21.5392,57.626,0.61,0.62,0.02,0.71,0.8592,0.03,0.0,0.0,0.65,0.8769,0.1,0.1538,2.5385,0.6345,0.0821,0.826,0.165,0.0799,0.8765,23.2113,0.61,0.0,0.04,0.13,0.02,0.2,0,82.8,568.7,480.6,1133.8
4,0.8812,100,100,3977,0,100,62,56,378,0,0,3529,0,0,21,0,0,0,118,0.011457,3518,2.6875,0.0688,0.159,,56,0,19,25,0,0,0.48,0.48,0.0,0.07,0.14,0.12,0.0,0.19,53,0,0.0158,56,3921,0.0282,41,5,872,25825,0.6162,25,0.1713,0.9941,0.299,0.9776,0.2831,39.4896,21.455,57.9265,0.64,0.64,0.01,0.73,0.8767,0.01,0.0,0.0,0.65,0.8923,0.1,0.1538,2.2462,0.6218,0.0771,0.7745,0.164,0.0705,0.7853,22.4247,0.64,0.0,0.05,0.06,0.01,0.24,0,71.0,872.4,461.7,1407.1
5,0.875,100,100,3982,0,100,58,53,341,0,0,3473,1,1,25,0,0,0,133,0.011357,3467,2.5833,0.0652,0.1751,24.0,53,0,21,26,0,0,0.44,0.44,0.0,0.05,0.19,0.11,0.0,0.21,50,0,0.0158,53,3929,0.0277,29,6,972,29807,0.6675,25,0.1758,0.9923,0.341,0.9692,0.285,38.3829,20.3902,57.6016,0.66,0.65,0.0,0.76,0.8684,0.0,0.0,,0.6,0.8833,0.1,0.1667,2.3,0.6061,0.0832,0.8348,0.1665,0.0821,0.9558,22.9079,0.66,0.0,0.03,0.12,0.02,0.17,1,69.2,1084.6,475.7,1635.3
6,0.8688,100,100,3985,0,100,64,55,384,0,0,3472,0,0,24,0,0,0,121,0.011371,3466,2.4792,0.076,0.1781,,55,0,19,26,0,0,0.46,0.46,0.01,0.04,0.16,0.14,0.0,0.19,76,0,0.0068,55,3930,0.027,55,7,1072,33792,0.7067,25,0.1744,0.9944,0.3066,0.9832,0.2869,40.0743,20.2465,58.0421,0.69,0.7,0.03,0.81,0.8519,0.03,0.0,0.0,0.69,0.942,0.09,0.1304,2.4203,0.6269,0.0774,0.7983,0.1653,0.0763,0.8275,23.1235,0.69,0.0,0.05,0.11,0.02,0.13,1,70.1,1665.3,489.4,2227.4
7,0.8625,100,100,4100,0,100,56,53,340,0,0,3563,0,0,21,0,0,0,121,0.009478,3556,2.375,0.0821,0.1863,,53,0,24,23,0,0,0.48,0.48,0.0,0.02,0.19,0.07,0.0,0.24,85,0,0.0,53,4047,0.0269,63,8,1172,37892,0.7384,25,0.1814,0.9925,0.311,0.9748,0.2817,39.8207,20.4035,59.0488,0.64,0.64,0.02,0.78,0.8205,0.02,0.0,0.0,0.66,0.8939,0.11,0.1667,2.3636,0.6092,0.0809,0.7941,0.1716,0.0803,0.8829,23.5769,0.64,0.0,0.09,0.13,0.05,0.09,0,77.9,1694.0,495.7,2269.8
8,0.8562,100,100,3582,0,100,55,55,323,0,0,3054,0,0,26,0,0,0,102,0.010467,3048,2.2708,0.0712,0.2048,,55,0,17,28,0,0,0.36,0.36,0.01,0.09,0.23,0.14,0.0,0.17,84,0,0.0,55,3527,0.028,75,9,1272,41474,0.761,25,0.1806,0.9931,0.3175,0.9748,0.2971,39.4586,21.1849,58.4032,0.75,0.74,0.03,0.84,0.8929,0.04,0.0,0.0,0.69,0.942,0.05,0.0725,2.4203,0.6392,0.0767,0.774,0.1624,0.076,0.8728,23.4762,0.75,0.0,0.04,0.06,0.03,0.12,1,72.6,2948.9,494.7,3519.6
9,0.85,100,100,3884,0,100,65,60,383,0,0,3325,1,1,20,0,0,0,122,0.009926,3318,2.1667,0.0604,0.1674,18.0,60,0,18,22,0,0,0.53,0.53,0.0,0.03,0.15,0.11,0.0,0.18,85,0,0.0065,60,3824,0.0287,50,10,1372,45358,0.7815,25,0.1821,0.9927,0.3251,0.972,0.3099,39.3951,21.5216,57.8051,0.75,0.72,0.02,0.86,0.8721,0.02,0.0,0.0,0.63,0.9365,0.05,0.0794,1.746,0.6261,0.079,0.7682,0.167,0.0762,0.8828,23.5233,0.75,0.0,0.05,0.09,0.03,0.08,0,71.7,6794.2,497.1,7366.2
10,0.8438,100,100,3922,0,100,72,69,423,0,0,3361,1,1,14,0,0,0,148,0.008317,3354,2.0625,0.0558,0.1436,36.0,69,0,15,16,0,0,0.57,0.57,0.01,0.03,0.15,0.09,0.0,0.15,90,0,0.0065,69,3853,0.027,61,11,1472,49280,0.7989,25,0.1817,0.9927,0.3145,0.9804,0.3137,41.0674,21.4037,58.6271,0.67,0.68,0.04,0.79,0.8481,0.04,0.0,0.0,0.7,0.8857,0.16,0.2286,2.0429,0.6678,0.0787,0.7585,0.1718,0.0749,0.8299,22.9241,0.67,0.0,0.04,0.13,0.04,0.12,0,70.6,9664.0,485.4,10224.6
11,0.8375,100,100,4155,0,100,53,50,308,0,0,3503,0,0,18,0,0,0,76,0.008741,3498,1.9583,0.0947,0.1922,,50,0,28,22,0,0,0.41,0.41,0.0,0.03,0.16,0.12,0.0,0.28,91,0,0.01,50,4105,0.0256,132,12,1572,53435,0.8145,25,0.1816,0.9921,0.3389,0.9776,0.312,40.7444,21.9088,58.4954,0.71,0.71,0.04,0.84,0.8452,0.05,0.0,0.0,0.62,0.9677,0.06,0.0968,2.2097,0.6231,0.0784,0.7701,0.1667,0.0738,0.8285,22.8333,0.71,0.0,0.03,0.15,0.01,0.1,0,66.7,5262.0,472.9,5805.0
12,0.8313,100,100,3974,0,100,63,62,358,0,0,3334,0,0,17,0,0,0,73,0.008206,3333,1.8542,0.0769,0.1659,,62,0,20,18,0,0,0.47,0.47,0.01,0.08,0.19,0.05,0.0,0.2,92,0,0.0061,62,3912,0.0265,95,13,1672,57409,0.8273,25,0.1783,0.9939,0.3437,0.972,0.3263,40.1612,22.6238,58.5446,0.7,0.69,0.06,0.78,0.8974,0.06,0.0,0.0,0.7,0.9286,0.08,0.1143,2.3857,0.6808,0.0757,0.7477,0.1628,0.0758,0.8329,23.1154,0.7,0.01,0.04,0.09,0.02,0.14,0,76.4,5316.5,486.4,5881.3
13,0.825,100,100,3834,0,100,61,59,346,0,0,3126,0,0,18,0,0,0,124,0.008802,3116,1.75,0.0787,0.1963,,59,0,21,20,0,0,0.51,0.51,0.01,0.02,0.2,0.05,0.0,0.21,90,0,0.0158,59,3775,0.0269,156,14,1772,61243,0.8382,25,0.1767,0.9923,0.3258,0.9832,0.3146,40.7353,21.7049,57.545,0.64,0.66,0.04,0.71,0.9014,0.04,0.0,0.0,0.65,0.9077,0.09,0.1385,1.7846,0.6353,0.0747,0.7891,0.1643,0.0636,0.7814,21.9859,0.64,0.01,0.03,0.09,0.01,0.22,0,72.3,4588.0,449.1,5111.0
14,0.8187,100,100,4132,0,100,55,50,310,0,0,3432,2,2,22,0,0,0,67,0.007251,3430,1.6458,0.0844,0.1778,23.5,50,0,26,24,0,0,0.41,0.41,0.0,0.05,0.19,0.09,0.0,0.26,98,0,0.0065,50,4082,0.0257,113,15,1872,65375,0.8484,25,0.1752,0.9926,0.3713,0.9692,0.3273,41.2905,22.0018,57.7775,0.78,0.76,0.04,0.86,0.907,0.04,0.0,0.0,0.67,0.9701,0.03,0.0448,1.7612,0.6522,0.0731,0.7222,0.1659,0.0768,0.801,23.9884,0.78,0.0,0.03,0.1,0.01,0.08,1,69.3,2106.2,494.5,2672.5
