iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,497,10437,0.0,100,0.0123,0.9976,0.0777,0.9909,0.0616,0.0,0.0,0.0,0.21,0.0,0.0,0.0,,0.2076,0.9916,0.3771,0.1579,1.3108,25.619,0.0,0.0,0.2,0.06,0.73,0.01,1,,,,0.0
1,0.75,100,100,2758,0,99,85,84,504,0,0,2113,1,3,13,0.0225,0.0789,15.0,84,0,0,16,0,0,0,0,0.0,84,2674,0.0339,0,2,597,13195,0.209,25,0.0494,0.9917,0.0691,0.9864,0.0685,,,,,,,,,,,,,,,,,,,,,0,654.8,261.2,0.0,916.3
2,0.7036,100,100,2978,0,99,90,89,539,0,0,2178,0,0,3,0.0166,0.0568,,89,0,2,9,0,0,23,0,0.0,89,2889,0.0329,5,3,697,16173,0.3547,25,0.0544,0.9903,0.0726,0.9864,0.0726,0.21,0.21,0.0,0.35,0.6,0.0,0.0,,0.1476,0.9105,0.2239,0.1066,1.1814,31.4,0.21,0.0,0.14,0.05,0.46,0.14,1,758.4,400.0,784.1,1943.2
3,0.6571,100,100,2837,0,100,88,86,517,0,0,1981,0,0,5,0.0179,0.0532,,86,0,2,12,0,0,42,0,0.0,86,2751,0.0332,3,4,797,19010,0.451,25,0.056,0.9913,0.0812,0.9841,0.076,,,,,,,,,,,,,,,,,,,,,0,719.3,525.3,0.0,1245.6
4,0.6107,100,100,3051,0,100,87,86,513,0,0,1944,1,3,9,0.0183,0.0558,17.0,86,0,3,11,0,0,46,0,0.0,86,2965,0.0338,4,5,897,22061,0.5269,25,0.0583,0.9913,0.0765,0.9887,0.0757,0.16,0.15,0.0,0.3,0.5333,0.0,0.0,,0.133,0.9167,0.2204,0.094,1.1111,30.4333,0.16,0.0,0.09,0.34,0.27,0.14,0,711.8,608.1,686.4,2007.2
5,0.5643,100,100,2949,0,100,87,86,517,0,0,1792,0,0,7,0.0191,0.0847,,86,0,1,13,0,0,52,0,0.0,86,2863,0.0352,4,6,997,25010,0.5827,25,0.0612,0.9914,0.0856,0.9819,0.0776,,,,,,,,,,,,,,,,,,,,,0,756.9,730.4,0.0,1487.7
6,0.5179,100,100,3054,0,100,81,77,477,0,0,1707,2,5,12,0.0222,0.1072,32.5,77,0,5,18,0,0,62,0,0.0,77,2977,0.0328,4,7,1097,28064,0.6281,25,0.0599,0.9925,0.087,0.9887,0.0819,0.06,0.05,0.0,0.24,0.25,0.0,0.0,,0.1611,0.8891,0.2759,0.1225,1.0353,27.4583,0.06,0.0,0.13,0.25,0.56,0.0,0,775.9,755.3,751.3,2283.1
7,0.4714,100,100,3044,0,100,85,84,507,0,0,1647,1,4,5,0.0204,0.0686,31.0,84,0,2,14,0,0,71,0,0.0,84,2960,0.0335,1,8,1197,31108,0.6645,25,0.0588,0.9929,0.0886,0.9819,0.083,,,,,,,,,,,,,,,,,,,,,0,766.7,849.2,0.0,1616.3
8,0.425,100,100,3239,0,100,77,74,450,0,0,1550,1,1,5,0.0334,0.0942,26.0,74,0,6,20,0,0,83,0,0.0,74,3165,0.0328,1,9,1297,34347,0.6961,25,0.0628,0.9936,0.0891,0.9864,0.0883,0.02,0.02,0.0,0.07,0.2857,0.0,0.0,,0.2439,0.9634,0.3858,0.1149,1.0439,33.1429,0.02,0.0,0.05,0.17,0.73,0.03,0,829.0,1091.4,776.2,2697.3
9,0.3786,100,100,3367,0,100,78,66,419,0,0,1459,1,1,10,0.0387,0.101,17.0,66,0,13,21,0,0,90,0,0.0,66,3301,0.0336,2,10,1397,37714,0.7233,25,0.0617,0.9927,0.0941,0.9841,0.0867,,,,,,,,,,,,,,,,,,,,,0,858.7,967.9,0.0,1827.1
