iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.026,0.9985,0.2443,0.9804,0.1789,42.5595,14.9906,64.281,0.56,0.56,0.02,0.69,0.8116,0.03,0.01,0.3333,0.0724,0.7105,0.1675,0.0735,0.8123,23.1449,0.56,0.01,0.07,0.12,0.05,0.19,1,,,,0.0
1,1.0,100,100,3300,0,100,79,78,470,0,0,2574,0,0,12,660,5,0,0,0.0258,0.1077,,78,0,5,17,0,0,0,0,0.0,78,3222,0.0326,0,2,572,13212,0.2498,25,0.093,0.9923,0.2078,0.9776,0.1986,40.9759,16.2233,61.1093,,,,,,,,,,,,,,,,,,,,,0,57.9,374.8,0.0,432.9
2,0.9583,100,100,3450,0,100,87,82,510,0,0,2579,0,0,6,722,4,0,0,0.019,0.0502,,82,0,7,11,0,0,22,0,0.0,82,3368,0.0322,0,3,672,16662,0.4051,25,0.1022,0.9906,0.222,0.986,0.2135,38.0023,15.7498,55.8573,0.52,0.53,0.03,0.57,0.9123,0.04,0.01,0.25,0.0747,0.6089,0.1709,0.0672,0.7074,23.1579,0.52,0.0,0.03,0.12,0.05,0.28,0,54.4,460.7,490.3,1007.1
3,0.9167,100,100,3268,0,100,87,82,509,0,0,2353,0,0,7,652,2,0,0,0.0219,0.0801,,82,0,6,12,0,0,40,0,0.01,82,3186,0.0315,1,4,772,19930,0.5027,25,0.1014,0.9924,0.2555,0.9776,0.2333,37.5988,16.933,56.0901,,,,,,,,,,,,,,,,,,,,,0,53.6,574.2,0.0,628.2
4,0.875,100,100,3385,0,100,83,81,494,0,0,2343,0,0,6,702,4,0,0,0.0224,0.0627,,81,0,7,12,0,0,53,0,0.0158,81,3304,0.0319,0,5,872,23315,0.5749,25,0.1016,0.9934,0.2451,0.9832,0.2384,37.2714,15.2746,55.5236,0.64,0.62,0.02,0.69,0.9275,0.04,0.02,0.5,0.0685,0.5382,0.1641,0.0663,0.6021,24.5217,0.64,0.0,0.05,0.1,0.04,0.17,1,55.0,648.6,511.0,1215.1
5,0.8333,100,100,3295,0,100,88,88,528,0,0,2153,1,2,7,697,3,0,0,0.0156,0.0608,23.0,88,0,1,11,0,0,50,0,0.0158,88,3207,0.032,0,6,972,26610,0.6275,25,0.1046,0.9929,0.3046,0.9748,0.2726,39.4158,16.0353,58.5342,,,,,,,,,,,,,,,,,,,,,0,55.0,735.4,0.0,790.8
6,0.7917,100,100,3397,0,100,82,79,480,0,0,2161,0,0,10,720,5,0,0,0.0229,0.0744,,79,0,6,15,0,0,76,0,0.015,79,3318,0.0312,0,7,1072,30007,0.6697,25,0.1028,0.9933,0.301,0.9804,0.2938,39.9595,16.9622,60.2442,0.58,0.56,0.07,0.65,0.8923,0.11,0.04,0.3636,0.0733,0.5517,0.1737,0.07,0.6593,25.1077,0.58,0.0,0.05,0.16,0.09,0.12,0,59.8,829.5,565.6,1455.3
7,0.75,100,100,3434,0,100,79,71,446,0,0,2022,0,0,9,775,4,0,0,0.0293,0.0752,,71,0,12,17,0,0,85,0,0.015,71,3363,0.032,0,8,1172,33441,0.7036,25,0.0998,0.9943,0.3076,0.9804,0.3024,40.2563,16.9051,60.58,,,,,,,,,,,,,,,,,,,,,0,56.4,905.5,0.0,962.2
8,0.7083,100,100,3283,0,100,81,74,463,0,0,1921,1,1,12,705,7,0,0,0.025,0.0954,36.0,74,0,6,20,0,0,84,0,0.0,74,3209,0.0327,1,9,1272,36724,0.7301,25,0.1028,0.9934,0.3234,0.9748,0.3046,38.6902,16.9064,56.9178,0.66,0.66,0.09,0.71,0.9296,0.1,0.01,0.1,0.0696,0.5424,0.1676,0.0654,0.6248,24.4366,0.66,0.0,0.03,0.13,0.04,0.14,1,56.6,994.7,508.2,1560.5
9,0.6667,100,100,3463,0,100,85,78,488,0,0,1870,1,3,8,758,6,0,0,0.0196,0.0558,44.0,78,0,7,15,0,0,85,0,0.015,78,3385,0.0322,0,10,1372,40187,0.7534,25,0.098,0.9952,0.3168,0.9832,0.3046,38.3816,16.7576,56.8491,,,,,,,,,,,,,,,,,,,,,0,54.4,1111.0,0.0,1166.1
