iter,beta,m,episodes,steps,skipped,pinned,reached_standoff,reached_grasp,reach_steps,omg_fail,goal_switch,expert_steps,policy_closed,policy_close_cmds,dropped_tail,dart,dart_env_done,dart_reach,dart_reject,mean_min_pos,mean_min_rot,mean_policy_close_step,c_close_label,c_policy_close,c_max_steps,c_env_done,c_no_labels,c_omg_fail0,revisits,grasp_mismatch,max_grasp_drift,close_labels,approach_labels,mean_label_pos,tiny_labels,aggregate_files,D_episodes,D_steps,D_dagger_frac,epochs,train_loss,train_grip_acc,val_loss,val_grip_acc,best_val_loss,aux_pos_mm,aux_rot_deg,aux_pm_mm,success_rate,grasp_rate,near_rate,close_rate,close_success_rate,chance_rate,missed_rate,miss_given_chance,box_chance_rate,box_taken_rate,box_missed_rate,miss_given_box,mean_box_steps,mean_box_frac,eval_min_pos,eval_min_rot,mean_dist,mean_pos_err,mean_rot_err,mean_close_step,f_grasp_ok,f_grasp_miss,f_no_release,f_drop,f_timeout,f_human_contact,is_best,collect_s,train_s,eval_s,wall_s
0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,472,9912,0.0,100,0.0429,0.9988,0.3408,0.9748,0.2084,39.4876,14.9248,60.6927,0.15,0.15,0.0,0.24,0.625,0.0,0.0,,0.15,0.8667,0.02,0.1333,1.6667,0.1712,0.0943,0.8226,0.1896,0.103,1.1104,21.7917,0.15,0.0,0.05,0.41,0.02,0.37,1,,,,0.0
1,0.75,100,100,3308,0,100,77,73,466,0,0,1805,0,0,8,803,8,101,55,0.0384,0.1413,,73,0,10,17,0,0,0,0,0.0,73,3235,0.0337,0,2,572,13220,0.2502,25,0.1164,0.9964,0.2767,0.9776,0.258,40.808,18.4928,59.0622,0.53,0.52,0.0,0.59,0.8983,0.0,0.0,,0.54,0.8148,0.11,0.2037,3.1481,0.562,0.0806,0.8126,0.1695,0.0742,1.0419,23.3898,0.53,0.0,0.03,0.09,0.04,0.31,1,74.7,474.9,732.4,1283.5
2,0.75,100,100,3584,0,100,83,77,508,0,0,1949,1,1,8,925,3,123,61,0.0281,0.092,26.0,77,0,12,11,0,0,22,0,0.0,77,3507,0.0343,4,3,672,16804,0.4101,25,0.1335,0.9957,0.2931,0.9776,0.2635,37.9419,20.0498,57.2741,0.66,0.64,0.02,0.72,0.9167,0.02,0.0,0.0,0.6,0.9167,0.07,0.1167,2.1667,0.5755,0.0796,0.858,0.1674,0.0763,0.8931,21.6389,0.66,0.0,0.03,0.1,0.02,0.19,1,74.8,479.3,660.8,1216.6
3,0.75,100,100,3356,0,100,79,70,466,0,0,1863,2,2,11,834,5,108,40,0.0346,0.1293,44.5,70,0,11,19,0,0,40,1,0.0218,70,3286,0.0343,1,4,772,20160,0.5083,25,0.1378,0.9957,0.2928,0.9804,0.2547,38.2997,20.8535,56.9033,0.52,0.5,0.0,0.63,0.8254,0.0,0.0,,0.43,0.8837,0.06,0.1395,1.8837,0.4561,0.0853,0.7958,0.1683,0.0862,1.0014,21.8889,0.52,0.0,0.06,0.23,0.0,0.19,0,72.4,556.5,644.8,1274.6
4,0.75,100,100,3611,0,100,78,72,482,0,0,1944,0,0,6,950,5,114,43,0.0317,0.1046,,72,0,13,15,0,0,53,0,0.0053,72,3539,0.0339,0,5,872,23771,0.583,25,0.1499,0.9946,0.2831,0.986,0.2678,37.5282,22.2884,56.095,0.67,0.64,0.05,0.79,0.8481,0.05,0.0,0.0,0.57,0.9298,0.05,0.0877,2.4737,0.582,0.0774,0.7491,0.1597,0.0763,0.7882,22.7595,0.67,0.01,0.07,0.11,0.0,0.14,1,72.5,636.4,666.2,1376.5
5,0.75,100,100,3523,0,100,83,77,510,0,0,1905,1,1,8,906,5,119,34,0.0307,0.0921,28.0,77,0,9,14,0,0,50,0,0.0158,77,3446,0.0336,1,6,972,27294,0.6368,25,0.1467,0.9954,0.2832,0.986,0.2682,38.9657,21.1978,57.2617,0.72,0.71,0.02,0.8,0.9,0.02,0.0,0.0,0.61,0.9508,0.05,0.082,1.9836,0.5796,0.0822,0.8104,0.1629,0.0768,0.8863,21.1,0.72,0.0,0.05,0.09,0.0,0.14,1,71.5,753.3,610.4,1437.2
6,0.75,100,100,3653,0,100,77,67,443,0,0,1969,1,1,10,952,6,93,29,0.0385,0.1281,29.0,67,0,16,17,0,0,76,1,0.0218,67,3586,0.0337,0,7,1072,30947,0.6797,25,0.1461,0.996,0.3146,0.9804,0.2866,37.9506,22.0806,56.6592,0.68,0.69,0.01,0.78,0.8718,0.04,0.0,0.0,0.66,0.9091,0.11,0.1667,1.9242,0.6349,0.0796,0.7405,0.1627,0.0787,0.8271,23.0897,0.68,0.02,0.05,0.08,0.0,0.17,0,73.9,954.8,677.0,1706.8
7,0.75,100,100,3703,0,100,79,70,471,0,0,1999,0,0,9,992,2,109,36,0.0467,0.1019,,70,0,19,11,0,0,85,0,0.0,70,3633,0.0342,0,8,1172,34650,0.7139,25,0.1506,0.9956,0.311,0.9804,0.2958,37.0197,21.4909,57.0603,0.62,0.66,0.02,0.81,0.7654,0.02,0.0,0.0,0.6,0.9,0.07,0.1167,2.0833,0.5886,0.0812,0.7355,0.1655,0.0825,0.9488,22.8519,0.62,0.0,0.09,0.12,0.0,0.17,0,78.8,910.8,664.1,1654.2
8,0.75,100,100,3325,0,100,78,74,479,0,0,1842,2,2,11,841,6,99,52,0.0299,0.1094,28.0,74,0,6,20,0,0,84,1,0.0218,74,3251,0.0345,0,9,1272,37975,0.739,25,0.1521,0.995,0.2903,0.9748,0.2846,36.8723,21.2888,55.0969,0.72,0.7,0.04,0.8,0.9,0.05,0.0,0.0,0.7,0.9,0.1,0.1429,2.2714,0.661,0.0758,0.6672,0.1666,0.0765,0.861,23.9875,0.72,0.0,0.05,0.13,0.0,0.1,0,67.8,1102.5,689.3,1860.4
9,0.75,100,100,3712,0,100,72,64,431,0,0,1955,0,0,7,1006,6,104,48,0.0408,0.1313,,64,0,20,16,0,0,85,0,0.0,64,3648,0.0338,1,10,1372,41687,0.7622,25,0.1518,0.9953,0.2967,0.9776,0.2851,37.7297,21.5727,55.3994,0.66,0.65,0.02,0.77,0.8571,0.03,0.01,0.3333,0.67,0.9254,0.1,0.1493,1.9104,0.6567,0.0808,0.7024,0.1613,0.0784,0.8151,22.9351,0.66,0.0,0.05,0.12,0.02,0.15,0,74.1,1212.2,682.6,1969.7
